✅ Loaded: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_128_12000_iters/gan_step_002500.pt
▶️ Resume: step 2501 -> 11999
step 2510 | loss_D 1.2668 | loss_G 0.7779 | D(real) +0.051 | D(fake) -0.241
step 2700 | loss_D 1.1631 | loss_G 0.8657 | D(real) +0.612 | D(fake) -0.115
step 2710 | loss_D 1.3758 | loss_G 0.9802 | D(real) -0.031 | D(fake) -0.058
step 2720 | loss_D 1.1337 | loss_G 0.9134 | D(real) +0.488 | D(fake) -0.159
step 2730 | loss_D 1.3521 | loss_G 0.8270 | D(real) -0.271 | D(fake) -0.483
step 2740 | loss_D 1.3623 | loss_G 0.8053 | D(real) -0.071 | D(fake) -0.156
step 2750 | loss_D 1.3172 | loss_G 0.8349 | D(real) +0.295 | D(fake) +0.049
step 2760 | loss_D 1.6362 | loss_G 0.9512 | D(real) -0.604 | D(fake) -0.228
step 2770 | loss_D 1.1942 | loss_G 0.7666 | D(real) +0.515 | D(fake) -0.013
step 2780 | loss_D 1.1767 | loss_G 1.1213 | D(real) -0.022 | D(fake) -0.526
step 2790 | loss_D 1.2040 | loss_G 1.1122 | D(real) +0.166 | D(fake) -0.243
step 2800 | loss_D 1.4379 | loss_G 1.1143 | D(real) +0.349 | D(fake) +0.242
step 2810 | loss_D 1.6051 | loss_G 0.7526 | D(real) -0.231 | D(fake) +0.146
step 2820 | loss_D 1.3954 | loss_G 0.8629 | D(real) -0.001 | D(fake) +0.007
step 2830 | loss_D 1.4433 | loss_G 0.8204 | D(real) -0.157 | D(fake) -0.065
step 2840 | loss_D 1.1698 | loss_G 0.8069 | D(real) +0.211 | D(fake) -0.347
step 2850 | loss_D 1.3727 | loss_G 0.8757 | D(real) -0.049 | D(fake) -0.093
step 2860 | loss_D 1.1564 | loss_G 0.9008 | D(real) +0.781 | D(fake) +0.030
step 2870 | loss_D 1.0242 | loss_G 1.2727 | D(real) +0.584 | D(fake) -0.887
step 2880 | loss_D 1.1892 | loss_G 1.1806 | D(real) +0.491 | D(fake) -0.005
step 2890 | loss_D 1.0725 | loss_G 0.9267 | D(real) +0.426 | D(fake) -0.274
step 2900 | loss_D 1.5126 | loss_G 0.8136 | D(real) -0.187 | D(fake) -0.028
step 2910 | loss_D 1.3098 | loss_G 0.6632 | D(real) +0.356 | D(fake) +0.110
step 2920 | loss_D 1.3616 | loss_G 0.7783 | D(real) -0.304 | D(fake) -0.459
step 2930 | loss_D 1.1724 | loss_G 0.8899 | D(real) +0.123 | D(fake) -0.494
step 2940 | loss_D 1.2696 | loss_G 0.9956 | D(real) +0.304 | D(fake) -0.121
step 2950 | loss_D 1.2504 | loss_G 0.9938 | D(real) +0.209 | D(fake) -0.263
step 2960 | loss_D 1.4728 | loss_G 0.9104 | D(real) -0.230 | D(fake) -0.153
step 2970 | loss_D 1.3901 | loss_G 0.8697 | D(real) +0.002 | D(fake) -0.068
step 2980 | loss_D 1.1760 | loss_G 0.9487 | D(real) +0.275 | D(fake) -0.251
step 2990 | loss_D 1.2730 | loss_G 1.1521 | D(real) +0.214 | D(fake) -0.295
step 3000 | loss_D 1.8537 | loss_G 0.6188 | D(real) -0.651 | D(fake) +0.079
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_003000.pt
step 3010 | loss_D 1.1203 | loss_G 1.4056 | D(real) +0.603 | D(fake) -0.176
step 3020 | loss_D 1.0257 | loss_G 1.1654 | D(real) +0.221 | D(fake) -0.786
step 3030 | loss_D 0.9080 | loss_G 1.2105 | D(real) +1.089 | D(fake) -0.306
step 3040 | loss_D 1.4879 | loss_G 1.2435 | D(real) +0.153 | D(fake) +0.187
step 3050 | loss_D 1.7255 | loss_G 0.8115 | D(real) -0.059 | D(fake) +0.523
step 3060 | loss_D 1.3323 | loss_G 1.3100 | D(real) +0.332 | D(fake) -0.075
step 3070 | loss_D 1.2100 | loss_G 1.0014 | D(real) +0.294 | D(fake) -0.131
step 3080 | loss_D 1.3333 | loss_G 0.8779 | D(real) -0.104 | D(fake) -0.277
step 3090 | loss_D 1.2195 | loss_G 0.7966 | D(real) +0.590 | D(fake) +0.083
step 3100 | loss_D 1.5502 | loss_G 0.9552 | D(real) -0.362 | D(fake) -0.160
step 3110 | loss_D 1.6270 | loss_G 0.8592 | D(real) -0.505 | D(fake) -0.163
step 3120 | loss_D 1.0673 | loss_G 0.8207 | D(real) +0.792 | D(fake) -0.023
step 3130 | loss_D 1.3423 | loss_G 1.0565 | D(real) -0.183 | D(fake) -0.419
step 3140 | loss_D 1.0384 | loss_G 1.3437 | D(real) +0.445 | D(fake) -0.357
step 3150 | loss_D 1.3521 | loss_G 0.7964 | D(real) -0.161 | D(fake) -0.273
step 3160 | loss_D 1.3414 | loss_G 0.7786 | D(real) +0.207 | D(fake) +0.087
step 3170 | loss_D 1.1828 | loss_G 1.0793 | D(real) +0.590 | D(fake) +0.002
step 3180 | loss_D 1.2720 | loss_G 1.0231 | D(real) +0.329 | D(fake) +0.015
step 3190 | loss_D 1.0450 | loss_G 1.1513 | D(real) +0.874 | D(fake) -0.234
step 3200 | loss_D 1.0410 | loss_G 0.6985 | D(real) +0.642 | D(fake) -0.271
step 3210 | loss_D 1.6955 | loss_G 0.9953 | D(real) -0.958 | D(fake) -1.144
step 3220 | loss_D 1.2660 | loss_G 0.9454 | D(real) -0.042 | D(fake) -0.347
step 3230 | loss_D 1.0140 | loss_G 1.2469 | D(real) +0.382 | D(fake) -0.527
step 3240 | loss_D 0.8163 | loss_G 1.4215 | D(real) +1.227 | D(fake) -0.404
step 3250 | loss_D 1.3251 | loss_G 1.0631 | D(real) -0.036 | D(fake) -0.321
step 3260 | loss_D 1.8883 | loss_G 0.7839 | D(real) -0.873 | D(fake) -0.241
step 3270 | loss_D 1.2680 | loss_G 1.1338 | D(real) +0.208 | D(fake) -0.220
step 3280 | loss_D 1.4751 | loss_G 0.7205 | D(real) +0.440 | D(fake) +0.389
step 3290 | loss_D 1.1994 | loss_G 0.9351 | D(real) +0.132 | D(fake) -0.327
step 3300 | loss_D 0.9505 | loss_G 1.2113 | D(real) +0.552 | D(fake) -0.673
step 3310 | loss_D 1.0039 | loss_G 1.2613 | D(real) +0.562 | D(fake) -0.606
step 3320 | loss_D 1.0080 | loss_G 1.1872 | D(real) +0.812 | D(fake) -0.345
step 3330 | loss_D 1.1354 | loss_G 0.8068 | D(real) +0.613 | D(fake) -0.005
step 3340 | loss_D 1.6253 | loss_G 1.3091 | D(real) -0.957 | D(fake) -1.006
step 3350 | loss_D 1.4228 | loss_G 0.7831 | D(real) -0.025 | D(fake) -0.037
step 3360 | loss_D 1.4526 | loss_G 0.9832 | D(real) +0.256 | D(fake) -0.042
step 3370 | loss_D 1.3955 | loss_G 0.7407 | D(real) -0.133 | D(fake) -0.173
step 3380 | loss_D 1.4983 | loss_G 0.9516 | D(real) +0.373 | D(fake) +0.437
step 3390 | loss_D 1.4334 | loss_G 0.9407 | D(real) +0.003 | D(fake) +0.039
step 3400 | loss_D 1.3927 | loss_G 0.7156 | D(real) +0.046 | D(fake) +0.052
step 3410 | loss_D 1.2153 | loss_G 0.8404 | D(real) +0.260 | D(fake) -0.137
step 3420 | loss_D 1.1245 | loss_G 0.9412 | D(real) +0.484 | D(fake) -0.134
step 3430 | loss_D 1.1435 | loss_G 0.9926 | D(real) +0.287 | D(fake) -0.292
step 3440 | loss_D 1.1936 | loss_G 1.3135 | D(real) +0.296 | D(fake) -0.220
step 3450 | loss_D 1.5084 | loss_G 1.0557 | D(real) -0.416 | D(fake) -0.270
step 3460 | loss_D 1.1608 | loss_G 1.4069 | D(real) +0.153 | D(fake) -0.413
step 3470 | loss_D 1.4549 | loss_G 0.9911 | D(real) -0.504 | D(fake) -0.583
step 3480 | loss_D 1.4009 | loss_G 0.8766 | D(real) +0.064 | D(fake) -0.455
step 3490 | loss_D 1.2366 | loss_G 0.8814 | D(real) -0.068 | D(fake) -0.476
step 3500 | loss_D 1.2822 | loss_G 1.1017 | D(real) +0.470 | D(fake) -0.130
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_003500.pt
step 3510 | loss_D 0.9890 | loss_G 0.7919 | D(real) +0.462 | D(fake) -0.576
step 3520 | loss_D 1.6266 | loss_G 1.0163 | D(real) +0.094 | D(fake) +0.453
step 3530 | loss_D 1.0642 | loss_G 0.8534 | D(real) +0.438 | D(fake) -0.335
step 3540 | loss_D 0.8632 | loss_G 1.5923 | D(real) +1.812 | D(fake) -0.103
step 3550 | loss_D 1.5676 | loss_G 0.7974 | D(real) -0.549 | D(fake) -0.653
step 3560 | loss_D 1.1932 | loss_G 0.6348 | D(real) +0.126 | D(fake) -0.317
step 3570 | loss_D 1.2559 | loss_G 1.0370 | D(real) +0.115 | D(fake) -0.195
step 3580 | loss_D 1.0638 | loss_G 0.8557 | D(real) +0.325 | D(fake) -0.409
step 3590 | loss_D 1.1582 | loss_G 0.9860 | D(real) +0.157 | D(fake) -0.646
step 3600 | loss_D 1.2120 | loss_G 0.8430 | D(real) +0.607 | D(fake) -0.334
step 3610 | loss_D 1.2473 | loss_G 0.9051 | D(real) +0.023 | D(fake) -0.333
step 3620 | loss_D 0.9556 | loss_G 1.1118 | D(real) +0.807 | D(fake) -0.382
step 3630 | loss_D 1.3202 | loss_G 1.1401 | D(real) +1.191 | D(fake) +0.302
step 3640 | loss_D 1.1685 | loss_G 1.0090 | D(real) +0.183 | D(fake) -0.367
step 3650 | loss_D 1.1939 | loss_G 0.9612 | D(real) +0.084 | D(fake) -0.477
step 3660 | loss_D 1.3467 | loss_G 0.7567 | D(real) +0.094 | D(fake) -0.159
step 3670 | loss_D 1.3330 | loss_G 0.6859 | D(real) +0.175 | D(fake) -0.028
step 3680 | loss_D 0.9820 | loss_G 0.7733 | D(real) +0.914 | D(fake) -0.172
step 3690 | loss_D 1.0556 | loss_G 1.0109 | D(real) +0.592 | D(fake) -0.268
step 3700 | loss_D 1.1519 | loss_G 1.0808 | D(real) +0.076 | D(fake) -0.525
step 3710 | loss_D 1.2454 | loss_G 0.9688 | D(real) +0.360 | D(fake) -0.152
step 3720 | loss_D 1.5768 | loss_G 1.0385 | D(real) -0.630 | D(fake) -0.452
step 3730 | loss_D 0.9790 | loss_G 1.4430 | D(real) +0.354 | D(fake) -0.742
step 3740 | loss_D 1.2850 | loss_G 0.9292 | D(real) +0.006 | D(fake) -0.267
step 3750 | loss_D 1.0622 | loss_G 0.8778 | D(real) +0.385 | D(fake) -0.426
step 3760 | loss_D 1.2054 | loss_G 1.1252 | D(real) -0.189 | D(fake) -0.751
step 3770 | loss_D 0.9563 | loss_G 1.4446 | D(real) +0.872 | D(fake) -0.310
step 3780 | loss_D 0.8279 | loss_G 1.1783 | D(real) +1.466 | D(fake) -0.220
step 3790 | loss_D 1.6436 | loss_G 0.8580 | D(real) -0.612 | D(fake) -0.220
step 3800 | loss_D 1.1960 | loss_G 0.6078 | D(real) +0.187 | D(fake) -0.290
step 3810 | loss_D 1.7445 | loss_G 1.0386 | D(real) -0.678 | D(fake) -0.162
step 3820 | loss_D 1.2056 | loss_G 0.9793 | D(real) +0.031 | D(fake) -0.417
step 3830 | loss_D 1.2062 | loss_G 0.9801 | D(real) +0.388 | D(fake) -0.021
step 3840 | loss_D 1.0339 | loss_G 1.1000 | D(real) +1.211 | D(fake) -0.149
step 3850 | loss_D 1.2090 | loss_G 1.0807 | D(real) +0.344 | D(fake) -0.077
step 3860 | loss_D 1.1606 | loss_G 1.1132 | D(real) +0.368 | D(fake) -0.198
step 3870 | loss_D 0.9875 | loss_G 0.9424 | D(real) +1.331 | D(fake) +0.027
step 3880 | loss_D 1.1681 | loss_G 1.1850 | D(real) -0.006 | D(fake) -0.657
step 3890 | loss_D 1.0166 | loss_G 1.4110 | D(real) +0.840 | D(fake) -0.168
step 3900 | loss_D 1.6486 | loss_G 1.3384 | D(real) +0.019 | D(fake) -0.728
step 3910 | loss_D 0.9903 | loss_G 1.2445 | D(real) +0.907 | D(fake) -0.278
step 3920 | loss_D 1.0204 | loss_G 0.7594 | D(real) +1.769 | D(fake) +0.261
step 3930 | loss_D 1.1420 | loss_G 1.1729 | D(real) +0.932 | D(fake) -0.133
step 3940 | loss_D 1.0380 | loss_G 1.0102 | D(real) +0.211 | D(fake) -0.728
step 3950 | loss_D 1.5773 | loss_G 0.8998 | D(real) -0.418 | D(fake) -0.142
step 3960 | loss_D 1.1387 | loss_G 0.9060 | D(real) +0.584 | D(fake) -0.148
step 3970 | loss_D 1.2126 | loss_G 0.9443 | D(real) -0.051 | D(fake) -0.486
step 3980 | loss_D 1.1652 | loss_G 0.9858 | D(real) +0.445 | D(fake) -0.121
step 3990 | loss_D 1.3591 | loss_G 0.8134 | D(real) +0.146 | D(fake) +0.067
step 4000 | loss_D 0.7979 | loss_G 1.1383 | D(real) +1.131 | D(fake) -0.566
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_004000.pt
step 4010 | loss_D 1.1682 | loss_G 1.0333 | D(real) +0.560 | D(fake) -0.066
step 4020 | loss_D 0.9821 | loss_G 1.2838 | D(real) +0.183 | D(fake) -0.829
step 4030 | loss_D 1.0941 | loss_G 1.1289 | D(real) +1.184 | D(fake) +0.089
step 4040 | loss_D 1.9589 | loss_G 0.4363 | D(real) -1.354 | D(fake) -0.880
step 4050 | loss_D 1.1602 | loss_G 0.7056 | D(real) +0.141 | D(fake) -0.398
step 4060 | loss_D 1.5121 | loss_G 0.7676 | D(real) +0.192 | D(fake) +0.244
step 4070 | loss_D 1.3933 | loss_G 1.0477 | D(real) -0.296 | D(fake) -0.401
step 4080 | loss_D 1.4418 | loss_G 1.0391 | D(real) -0.268 | D(fake) -0.202
step 4090 | loss_D 1.0396 | loss_G 0.9774 | D(real) +0.403 | D(fake) -0.403
step 4100 | loss_D 0.7466 | loss_G 1.3716 | D(real) +1.992 | D(fake) -0.729
step 4110 | loss_D 1.4260 | loss_G 1.0540 | D(real) -0.195 | D(fake) -0.159
step 4120 | loss_D 1.1294 | loss_G 1.0978 | D(real) +0.286 | D(fake) -0.528
step 4130 | loss_D 1.2297 | loss_G 0.8677 | D(real) +0.354 | D(fake) -0.013
step 4140 | loss_D 1.3045 | loss_G 0.9730 | D(real) -0.388 | D(fake) -0.802
step 4150 | loss_D 1.3621 | loss_G 0.9854 | D(real) +0.399 | D(fake) +0.136
step 4160 | loss_D 0.6467 | loss_G 1.3333 | D(real) +1.173 | D(fake) -0.896
step 4170 | loss_D 1.2638 | loss_G 0.8588 | D(real) +0.821 | D(fake) +0.192
step 4180 | loss_D 1.4213 | loss_G 1.4518 | D(real) -0.486 | D(fake) -0.745
step 4190 | loss_D 0.6811 | loss_G 1.8914 | D(real) +0.947 | D(fake) -1.131
step 4200 | loss_D 1.2519 | loss_G 1.0895 | D(real) -0.077 | D(fake) -0.454
step 4210 | loss_D 1.1345 | loss_G 1.0436 | D(real) +0.618 | D(fake) -0.073
step 4220 | loss_D 0.9316 | loss_G 0.9467 | D(real) +1.847 | D(fake) +0.064
step 4230 | loss_D 1.4651 | loss_G 0.7988 | D(real) -0.176 | D(fake) -0.149
step 4240 | loss_D 1.2568 | loss_G 0.8377 | D(real) +0.068 | D(fake) -0.208
step 4250 | loss_D 0.9825 | loss_G 1.1339 | D(real) +0.371 | D(fake) -0.620
step 4260 | loss_D 1.3749 | loss_G 0.9496 | D(real) -0.071 | D(fake) -0.184
step 4270 | loss_D 1.1978 | loss_G 0.9196 | D(real) +0.799 | D(fake) +0.033
step 4280 | loss_D 1.2781 | loss_G 0.9311 | D(real) +0.173 | D(fake) -0.238
step 4290 | loss_D 0.9983 | loss_G 1.1649 | D(real) +0.581 | D(fake) -0.379
step 4300 | loss_D 1.0807 | loss_G 1.1347 | D(real) +1.100 | D(fake) -0.387
step 4310 | loss_D 1.4834 | loss_G 0.9934 | D(real) +0.191 | D(fake) +0.193
step 4320 | loss_D 1.1505 | loss_G 1.0300 | D(real) +0.342 | D(fake) -0.321
step 4330 | loss_D 0.9285 | loss_G 0.7805 | D(real) +0.699 | D(fake) -0.417
step 4340 | loss_D 0.9797 | loss_G 1.0824 | D(real) +0.627 | D(fake) -0.341
step 4350 | loss_D 1.3472 | loss_G 0.9038 | D(real) +1.289 | D(fake) +0.601
step 4360 | loss_D 0.7070 | loss_G 1.3954 | D(real) +1.273 | D(fake) -0.649
step 4370 | loss_D 1.6468 | loss_G 0.8839 | D(real) -0.520 | D(fake) -0.095
step 4380 | loss_D 1.0117 | loss_G 1.0845 | D(real) +0.505 | D(fake) -0.563
step 4390 | loss_D 1.5458 | loss_G 0.6869 | D(real) -0.254 | D(fake) +0.014
step 4400 | loss_D 0.8320 | loss_G 1.2642 | D(real) +0.968 | D(fake) -0.607
step 4410 | loss_D 1.4667 | loss_G 0.7730 | D(real) +0.101 | D(fake) +0.135
step 4420 | loss_D 1.2086 | loss_G 0.9113 | D(real) +0.242 | D(fake) -0.458
step 4430 | loss_D 0.9975 | loss_G 1.1003 | D(real) +0.742 | D(fake) -0.259
step 4440 | loss_D 1.0899 | loss_G 0.8172 | D(real) +0.289 | D(fake) -0.481
step 4450 | loss_D 1.0652 | loss_G 0.9624 | D(real) +0.222 | D(fake) -0.551
step 4460 | loss_D 0.8594 | loss_G 1.1427 | D(real) +1.604 | D(fake) -0.260
step 4470 | loss_D 1.4424 | loss_G 0.6879 | D(real) +1.380 | D(fake) +0.574
step 4480 | loss_D 0.8995 | loss_G 1.5099 | D(real) +0.328 | D(fake) -1.058
step 4490 | loss_D 1.0419 | loss_G 1.1319 | D(real) +0.646 | D(fake) -0.318
step 4500 | loss_D 1.1798 | loss_G 1.2388 | D(real) +0.918 | D(fake) +0.033
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_004500.pt
step 4510 | loss_D 0.9379 | loss_G 1.1311 | D(real) +0.500 | D(fake) -0.581
step 4520 | loss_D 1.5631 | loss_G 0.6203 | D(real) +0.321 | D(fake) +0.478
step 4530 | loss_D 1.0535 | loss_G 1.0802 | D(real) +0.698 | D(fake) -0.187
step 4540 | loss_D 1.1581 | loss_G 0.7308 | D(real) +0.294 | D(fake) -0.228
step 4550 | loss_D 0.7293 | loss_G 1.0594 | D(real) +0.930 | D(fake) -0.766
step 4560 | loss_D 1.1038 | loss_G 1.1133 | D(real) +0.683 | D(fake) -0.209
step 4570 | loss_D 0.9449 | loss_G 1.1918 | D(real) +0.807 | D(fake) -0.583
step 4580 | loss_D 1.2627 | loss_G 1.1802 | D(real) +0.813 | D(fake) +0.058
step 4590 | loss_D 0.9095 | loss_G 1.0938 | D(real) +0.702 | D(fake) -0.517
step 4600 | loss_D 1.2078 | loss_G 1.0188 | D(real) +0.020 | D(fake) -0.450
step 4610 | loss_D 1.1744 | loss_G 0.8463 | D(real) +0.672 | D(fake) -0.010
step 4620 | loss_D 0.7524 | loss_G 1.5813 | D(real) +1.894 | D(fake) -0.279
step 4630 | loss_D 1.3386 | loss_G 1.1379 | D(real) +0.424 | D(fake) +0.146
step 4640 | loss_D 0.8828 | loss_G 1.2519 | D(real) +0.935 | D(fake) -0.523
step 4650 | loss_D 1.4865 | loss_G 0.7278 | D(real) -0.448 | D(fake) -0.581
step 4660 | loss_D 0.9556 | loss_G 1.3458 | D(real) +0.084 | D(fake) -1.280
step 4670 | loss_D 1.2689 | loss_G 0.9231 | D(real) +0.477 | D(fake) +0.026
step 4680 | loss_D 1.4234 | loss_G 1.0852 | D(real) -0.275 | D(fake) -0.338
step 4690 | loss_D 1.3851 | loss_G 1.0856 | D(real) -0.180 | D(fake) -0.270
step 4700 | loss_D 0.9687 | loss_G 1.0062 | D(real) +0.822 | D(fake) -0.377
step 4710 | loss_D 1.1448 | loss_G 1.1144 | D(real) -0.039 | D(fake) -0.755
step 4720 | loss_D 1.4922 | loss_G 0.7755 | D(real) -0.283 | D(fake) -0.227
step 4730 | loss_D 0.9005 | loss_G 0.7182 | D(real) +1.544 | D(fake) -0.237
step 4740 | loss_D 1.4304 | loss_G 1.1612 | D(real) -0.039 | D(fake) -0.295
step 4750 | loss_D 1.4213 | loss_G 1.0454 | D(real) -0.357 | D(fake) -0.423
step 4760 | loss_D 1.1005 | loss_G 0.9615 | D(real) +0.976 | D(fake) -0.084
step 4770 | loss_D 0.9998 | loss_G 1.2447 | D(real) +0.658 | D(fake) -0.609
step 4780 | loss_D 1.0686 | loss_G 1.1137 | D(real) +0.740 | D(fake) -0.300
step 4790 | loss_D 0.8744 | loss_G 1.2551 | D(real) +2.078 | D(fake) -0.700
step 4800 | loss_D 0.9541 | loss_G 1.3426 | D(real) +0.339 | D(fake) -0.738
step 4810 | loss_D 1.5721 | loss_G 1.0287 | D(real) -0.271 | D(fake) -0.439
step 4820 | loss_D 1.6050 | loss_G 1.0294 | D(real) -1.062 | D(fake) -1.289
step 4830 | loss_D 1.0819 | loss_G 1.3819 | D(real) +0.665 | D(fake) -0.086
step 4840 | loss_D 1.1533 | loss_G 1.1607 | D(real) +0.203 | D(fake) -0.479
step 4850 | loss_D 1.2619 | loss_G 0.8142 | D(real) +0.243 | D(fake) -0.158
step 4860 | loss_D 1.5999 | loss_G 0.8459 | D(real) -0.649 | D(fake) -0.409
step 4870 | loss_D 1.2541 | loss_G 0.9739 | D(real) +0.526 | D(fake) +0.082
step 4880 | loss_D 0.8119 | loss_G 1.1590 | D(real) +0.795 | D(fake) -0.694
step 4890 | loss_D 0.6587 | loss_G 1.3654 | D(real) +1.466 | D(fake) -0.857
step 4900 | loss_D 0.7718 | loss_G 2.5332 | D(real) +2.215 | D(fake) -0.126
step 4910 | loss_D 0.6914 | loss_G 1.4834 | D(real) +0.642 | D(fake) -1.266
step 4920 | loss_D 1.3059 | loss_G 0.9800 | D(real) -0.019 | D(fake) -0.401
step 4930 | loss_D 0.9012 | loss_G 1.1308 | D(real) +0.563 | D(fake) -0.796
step 4940 | loss_D 1.1220 | loss_G 1.0617 | D(real) +1.119 | D(fake) -0.145
step 4950 | loss_D 0.7570 | loss_G 1.2541 | D(real) +0.799 | D(fake) -0.764
step 4960 | loss_D 0.8587 | loss_G 1.4192 | D(real) +2.033 | D(fake) -0.093
step 4970 | loss_D 0.7973 | loss_G 1.6236 | D(real) +1.342 | D(fake) -0.489
step 4980 | loss_D 1.1006 | loss_G 1.0538 | D(real) +0.867 | D(fake) -0.227
step 4990 | loss_D 1.2870 | loss_G 1.2238 | D(real) +0.019 | D(fake) -0.371
step 5000 | loss_D 1.5506 | loss_G 1.2357 | D(real) -0.405 | D(fake) -0.345
💾 Saved: /content/drive/MyDrive/gan-rl-runs/12000_iters/checkpoints_64_12000_iters/checkpoints_64_12000_iters/gan_step_005000.pt
step 5010 | loss_D 1.1917 | loss_G 0.7663 | D(real) +0.593 | D(fake) -0.049
step 5020 | loss_D 1.3353 | loss_G 1.0191 | D(real) -0.091 | D(fake) -0.377
step 5030 | loss_D 0.8163 | loss_G 1.2001 | D(real) +0.942 | D(fake) -0.701
step 5040 | loss_D 1.5432 | loss_G 0.7772 | D(real) -0.480 | D(fake) -0.348
step 5050 | loss_D 0.9549 | loss_G 1.2353 | D(real) +0.439 | D(fake) -0.653
step 5060 | loss_D 1.6301 | loss_G 0.8862 | D(real) -0.397 | D(fake) -0.147
step 5070 | loss_D 0.8744 | loss_G 1.2586 | D(real) +1.762 | D(fake) -0.839
step 5080 | loss_D 1.0407 | loss_G 0.9603 | D(real) +1.172 | D(fake) +0.051
step 5090 | loss_D 0.8955 | loss_G 1.1901 | D(real) +0.980 | D(fake) -0.273
step 5100 | loss_D 0.9516 | loss_G 0.9941 | D(real) +0.453 | D(fake) -1.114
step 5110 | loss_D 1.1243 | loss_G 1.0482 | D(real) +0.202 | D(fake) -0.494
step 5120 | loss_D 1.4127 | loss_G 0.7348 | D(real) -0.072 | D(fake) -0.251
step 5130 | loss_D 0.8542 | loss_G 1.1509 | D(real) +1.030 | D(fake) -0.537
step 5140 | loss_D 0.9498 | loss_G 1.0971 | D(real) +1.106 | D(fake) -0.131
step 5150 | loss_D 1.3857 | loss_G 1.3507 | D(real) +0.059 | D(fake) -0.038
step 5160 | loss_D 1.8696 | loss_G 0.7836 | D(real) -0.770 | D(fake) -0.147
step 5170 | loss_D 1.6925 | loss_G 1.0356 | D(real) -0.725 | D(fake) -0.468
step 5180 | loss_D 0.8795 | loss_G 1.3182 | D(real) +1.073 | D(fake) -0.365
step 5190 | loss_D 0.7702 | loss_G 1.2489 | D(real) +1.672 | D(fake) -0.214
step 5200 | loss_D 0.7672 | loss_G 1.2559 | D(real) +1.272 | D(fake) -0.486
step 5210 | loss_D 1.3740 | loss_G 0.9185 | D(real) +0.230 | D(fake) -0.222
step 5220 | loss_D 0.9374 | loss_G 1.1264 | D(real) +1.067 | D(fake) -0.196
step 5230 | loss_D 0.9697 | loss_G 1.0174 | D(real) +0.743 | D(fake) -0.347
step 5240 | loss_D 0.9985 | loss_G 1.3188 | D(real) +0.896 | D(fake) -0.548
step 5250 | loss_D 0.9689 | loss_G 1.3023 | D(real) +1.328 | D(fake) -0.273
step 5260 | loss_D 0.5916 | loss_G 1.4606 | D(real) +1.703 | D(fake) -0.775
step 5270 | loss_D 1.4465 | loss_G 1.4141 | D(real) -0.446 | D(fake) -0.709
step 5280 | loss_D 1.1502 | loss_G 1.9302 | D(real) +0.287 | D(fake) -0.590
step 5290 | loss_D 1.1486 | loss_G 1.1770 | D(real) +1.050 | D(fake) +0.171
